Brand No,Quantity,Pack Description,,Unit Cost,Weight,
1,8330396,42 cas,12 FITVINE SAUV BLANC CALI,750ML,85.2,1612.8
,,8.53086E+11,,,,
2,8332399,91 cas,12 FITVINE CHARD CALI NUPC +14,750ML,85.2,3494.4
,,8.53086E+11,,,,
3,8333397,224 cas,12 FITVINE CAB CALI +14,750ML,85.2,8556.8
,,8.53086E+11,,,,
4,8334397,224 cas,12 FITVINE P GRIGIO CALI NUPC,750ML,85.2,8601.6
,,8.53086E+11,,,,
5,8335400,14 cas,12 FITVINE ROSE CALI,750ML,103.2,537.6
,,8.53086E+11,2020 Y,,,
6,8331397,60 cas,12 FITVINE P NOIR CALI NUPC,750ML,103.2,2304
,,8.53086E+11,,,,
7,8337396,42 cas,12 FITVINE PROSECCO BRUT,750ML,103.2,1713.6
,,8.53086E+11,,,,
