Brand No,Quantity,Pack Description,,Unit Cost,Weight,
1,8332399,168 cas,12 FITVINE CHARD CALI NUPC +14,750ML,85.2,6451.2
,,8.53086E+11,,,,
2,8334397,168 cas,12 FITVINE P GRIGIO CALI NUPC,750ML,85.2,6451.2
,,8.53086E+11,,,,
3,8338396,14 cas,12 FITVINE RED BLEND,750ML,85.2,532
,,8.53086E+11,,,,
4,8331397,14 cas,12 FITVINE P NOIR CALI NUPC,750ML,103.2,537.6
,,8.53086E+11,,,,
