| West Greenwich,,,,,,,,
,,,,,,,,
|Item #|Size |Case|Bot|Description,,,,,|F.O.B. |Ex Wgt|,,,Ext FOB |
|755504|750,,| 112|,,|FITVINE CAB SAUV 17/18,| 83.20 |,,4032|,9318.40 |
|755514|750,,|,42|,|FITVINE SAUV BL 18/19,| 83.20 |,,1512|,3494.40 |
|755524|750,,|,22|,|FITVINE CHARD 18/19,| 83.20 |,,792|,1830.40 |
|755534|750,,|,33|,|FITVINE PINOT NOIR 17/18,|103.20 |,,1188|,3405.60 |
|755544|750,,| 112|,,|FITVINE PINOT GRIGIO,| 83.20 |,,4032|,9318.40 |
|755604|750,,|,10|,|FITVINE PROSECCO,|103.20 |,,360|,1032.00 |
| CASES THIS,331,11916,,,,,,28399.20 |
| GRAND TOTAL,331,11916,,,,,,28399.20 |
