Cases|Size |Pack|Item No.|Description,|,Upc |Unit Price,,
112|750M |,12|,37627|FITVINE CALIF CAB,|85308600800|,85.2
28|750M |,12|,37646|FITVINE CALIF P NOIR,|85308600802|,103.2
