Athens Distributing Company,,,,,,,,
Of Nashville,,,,,,,,
,,,,,,,,
QTY,BPC,SIZE,ITEM DESCRIPTION,ITEM #,F.O.B.,AMOUNT,WEIGHT/cs,WEIGHT
56,12,750ML,FITVINE CABERNET,428940,82,"4,592.00",35.04,"1,962.24"
14,12,750ML,FITVINE CHARDONNAY,429140,82,"1,148.00",35.04,490.56
14,12,750ML,FITVINE PINOT GRIGIO,427440,82,"1,148.00",35.04,490.56
14,12,750ML,FITVINE PINOT NOIR,429240,102,"1,428.00",35.04,490.56
1,12,750ML,FITVINE ROSE,425440,102,102,35.04,35.04
14,12,750ML,FITVINE SAUV BLANC,429040,82,"1,148.00",35.04,490.56
7,12,750ML,WEATHER SONOMA COAST PINOT NOIR,42305986,150,"1,050.00",37.92,265.44
