Breakthru Beverage Nevada,,,,,,,
,,,,,,,
Cases,Bottles,Material,Size,Description,Pack,Price,Extended
42,,9326987,750ML,FITVINE CAB SAUV 750ML,12,$84.50 ,"$3,549.00 "
35,,9326986,750ML,FITVINE CHARD 750ML,12,$84.50 ,"$2,957.50 "
21,,9326991,750ML,FITVINE SAUV BL 750ML,12,$84.50 ,"$1,774.50 "
6,,9357028,750ML,FITVINE PROSECCO 750ML,12,$102.50 ,$615.00 
